Complexity,Loss,Equation
1,0.074223205,"-0.03634062"
3,0.06633169,"-0.01940165 / x2"
5,0.047360756,"(x4 * -0.010937697) / x2"
7,0.02921991,"x4 * (0.031985324 / (-0.033428248 - x2))"
8,0.02492201,"x4 * cube(0.27933922 / (-0.31862307 - x2))"
10,0.024110131,"((x4 - x0) * 0.023075754) / cube(-0.32531592 - x2)"
12,0.017365681,"(0.023063663 * (x4 - (x0 / x2))) / cube(-0.32529926 - x2)"
14,0.013144916,"(x2 - x0) * ((x4 + 2.8229213) / cube((x2 * -6.557529) + -0.2564124))"
16,0.012058234,"((x2 * x4) * (x1 + (x2 - x0))) / cube((x2 / -0.25498852) + -0.016063241)"
18,0.008960361,"((x1 + (x2 - x0)) * x2) * ((x4 - -1.8565046) / cube((x2 / -0.24003449) + -0.02034708))"
20,0.0072886916,"(x2 * ((x1 + (x2 - (x0 * 1.4839015))) * (x4 - -1.7619317))) / cube((x2 / -0.23163119) + -0.02034708)"
22,0.0062621105,"((x1 + (x2 - (x0 * 1.4839354))) * x2) * ((x4 - (x2 + -2.1719854)) / cube((x2 / -0.23247279) + -0.022487814))"
24,0.005745383,"((x1 + (x2 - (x0 * 1.4565331))) * ((x4 - ((x2 * 2.008013) + -2.5131404)) * x2)) / cube((x2 / -0.23469667) + -0.025202598)"
26,0.0056292657,"(((x2 + x1) - (x0 * 1.4524602)) * ((x4 - ((x0 - (x2 * -3.0501647)) + -2.7427263)) * x2)) / cube((x2 / -0.23237592) + -0.023965778)"
