Complexity,Loss,Equation
1,23.152025,"0.1768406"
3,21.877306,"x0 / x2"
5,15.994417,"x4 * (x0 / x2)"
7,1.9508162,"(x4 * x0) / (x2 ^ 1.7439469)"
9,1.2765899,"(x0 / (x2 + 0.049523305)) * (x4 / x2)"
11,0.6620996,"(x4 * ((x0 / x2) + 0.13188502)) / (x2 + 0.048408747)"
13,0.5871813,"x4 * (((x0 / (x2 + 0.022953488)) + 0.11389266) / (x2 + 0.016881717))"
15,0.53010654,"x4 * (((x0 / (x2 + 0.013569746)) + 0.122078456) / ((x2 + 0.019770108) * 1.0889909))"
17,0.4949213,"(((x4 * ((x0 / (0.014718619 + x2)) + 0.13963285)) / 1.0842059) + -0.12244469) / (x2 + 0.0186596)"
19,0.42493057,"(x4 - (x4 * (x4 / (x2 / 0.00090269314)))) * (((x0 / x2) + 0.09638495) / (x2 + 0.024550486))"
21,0.3438404,"(((x0 / x2) + 0.10715555) * (x4 - ((x4 * x4) / (x3 * (x2 / 0.0010487788))))) / (x2 + 0.026664909)"
23,0.29199126,"((x4 - ((x4 * x4) / ((x3 * x2) / 0.001113015))) * ((x0 / x2) + 0.10565713)) / ((x2 + 0.019029712) * 1.0894979)"
25,0.2682168,"((x4 - (x4 * (x4 / (((x3 + x2) * x2) / 0.0011815266)))) * ((x0 / x2) + 0.10669436)) / ((x2 + 0.017262843) * 1.1103543)"
27,0.25828525,"(x4 - (x4 * (x4 / (((x2 + x3) + x2) * (x2 / 0.0011938474))))) * (((x0 / x2) + 0.10979874) / ((x2 + 0.016640272) * 1.1280249))"
29,0.2473091,"(x4 - ((x4 * x4) / (((x2 + x3) + x2) * (x2 / 0.0012161705)))) * ((((x0 / x2) + 0.11975718) / ((x2 + 0.01689589) * 1.11857)) + -0.047982458)"
